Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,
11/07/2018 0:40,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred","Orion, Nikola Tesla",Scathach,"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Vlad III,,Jeanne D'arc [Alter],More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,F2P,,,,,,,,,,Between 3 and 6 months,0,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Ryougi Shiki",,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci","MHX, Shuten Douji","Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",,Jeanne D'arc [Alter],More than 1 year,17,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,"Gilgamesh, Orion",Scathach,Ozymandias,Zhuge Liang [El-Melloi II],Jack the Ripper,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Between 3 and 6 months,13,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji",,Scathach,,,Jack the Ripper,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,F2P,,,,,,,,,,Between 6 and 12 months,0,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,,Karna,Francis Drake,,Jack the Ripper,,"Jeanne D'arc, Amakusa Shirou",,More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,Nikola Tesla,,Francis Drake,Zhuge Liang [El-Melloi II],"Jack the Ripper, Shuten Douji",Sakata Kintoki,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,F2P,Ryougi Shiki,Gilgamesh,Scathach,,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci",Shuten Douji,"Sakata Kintoki, Minamoto no Raikō",,,More than 1 year,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,F2P,Mordred,,,,,,Minamoto no Raikō,,,Between 1 and 3 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,F2P,Artoria Pendragon,,,,,Jack the Ripper,Vlad III,,,More than 1 year,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred",Gilgamesh,,"Francis Drake, Queen Medb",Zhuge Liang [El-Melloi II],MHX,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,14,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred",Orion,,,,,,,"Jeanne D'arc [Alter], Edmond Dantes",Between 6 and 12 months,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Nero Claudius [Bride]","Nikola Tesla, Arjuna",Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,13,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,,,Ozymandias,,Jack the Ripper,,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Nero Claudius [Bride]",Orion,Karna,Ozymandias,"Zhuge Liang [El-Melloi II], Xuanzang",Jack the Ripper,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,15,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,F2P,Altera,Gilgamesh,"Scathach, Brynhildr",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,"Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,,More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]","Gilgamesh, Arjuna","Scathach, Brynhildr","Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,"Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],More than 1 year,22,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,Paid Gacha Only,,,,,,,,,,,,,,Altera,Gilgamesh,,,Zhuge Liang [El-Melloi II],,"Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,F2P,"Altera, Okita Souji",Gilgamesh,Scathach,"Francis Drake, Ozymandias","Tamamo-no-mae, Leonardo Da Vinci",Shuten Douji,Minamoto no Raikō,,Jeanne D'arc [Alter],More than 1 year,11,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,Paid Gacha Only,,,,,,,,,,,,,,Ryougi Shiki,,"Scathach, Karna","Francis Drake, Ozymandias",Tamamo-no-mae,"Jack the Ripper, MHX","Vlad III, Florence Nightingale",Jeanne D'arc,,More than 1 year,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:41,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,"Gilgamesh, Orion, Nikola Tesla",,,Zhuge Liang [El-Melloi II],MHX,Vlad III,,Jeanne D'arc [Alter],More than 1 year,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,F2P,Ryougi Shiki,,,,Zhuge Liang [El-Melloi II],,"Vlad III, Cu Chulainn [Alter]",,Jeanne D'arc [Alter],More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,F2P,"Altera, Nero Claudius [Bride], Ryougi Shiki",,Brynhildr,,Leonardo Da Vinci,,,,,Between 3 and 6 months,5,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,Brynhildr,,Zhuge Liang [El-Melloi II],,Vlad III,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,F2P,,,,Ozymandias,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci",,,Jeanne D'arc,,Between 6 and 12 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],"Gilgamesh, Orion",,"Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Minamoto no Raikō,,Extra Option: Angra Mainyu,More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,,,Francis Drake,Tamamo-no-mae,MHX,Vlad III,,,More than 1 year,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji",,Scathach,,Zhuge Liang [El-Melloi II],,Minamoto no Raikō,,Jeanne D'arc [Alter],More than 1 year,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,Paid Gacha Only,,,,,,,,,,,,,,Altera,"Gilgamesh, Orion, Nikola Tesla",,,Zhuge Liang [El-Melloi II],MHX,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,14,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,,Francis Drake,,"Jack the Ripper, Shuten Douji",,"Jeanne D'arc, Amakusa Shirou",,Between 3 and 6 months,7,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:42,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",Gilgamesh,,Francis Drake,Zhuge Liang [El-Melloi II],,Sakata Kintoki,"Jeanne D'arc, Amakusa Shirou",,More than 1 year,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:43,F2P,Artoria Pendragon,Orion,Scathach,"Francis Drake, Iskandar",Zhuge Liang [El-Melloi II],,,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:43,F2P,"Artoria Pendragon, Mordred",,Brynhildr,,Tamamo-no-mae,,Vlad III,,Extra Option: Angra Mainyu,Between 6 and 12 months,5,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:43,F2P,Mordred,,Brynhildr,Queen Medb,Zhuge Liang [El-Melloi II],Jack the Ripper,Vlad III,,Extra Option: Angra Mainyu,More than 1 year,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:43,F2P,,,,,,,,,,Between 6 and 12 months,0,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:43,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,"Vlad III, Cu Chulainn [Alter]",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:44,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nikola Tesla, Arjuna",,Francis Drake,,,"Vlad III, Florence Nightingale",,,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:44,F2P,"Artoria Pendragon, Altera",Orion,Karna,"Francis Drake, Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,22,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:44,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Orion,Karna,"Francis Drake, Ozymandias",,,"Vlad III, Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,11,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:44,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Gilgamesh,,"Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],,,Jeanne D'arc,,Between 3 and 6 months,6,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:44,F2P,"Altera, Mordred",,"Scathach, Brynhildr",,,"Jack the Ripper, Shuten Douji",,,,Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:44,F2P,Mordred,,,Iskandar,,,,Jeanne D'arc,"Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,4,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:44,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,,,"Francis Drake, Ozymandias",,Jack the Ripper,,Jeanne D'arc,,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:44,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:45,F2P,Altera,,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,"Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],More than 1 year,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:45,Paid Gacha Only,,,,,,,,,,,,,,Nero Claudius [Bride],,Scathach,,,MHX,"Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,Jeanne D'arc [Alter],Between 3 and 6 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:45,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji",,,Ozymandias,Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],,,More than 1 year,5,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:45,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,Cu Chulainn [Alter],Jeanne D'arc,,Between 3 and 6 months,2,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:45,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,,,,MHX,Vlad III,,,More than 1 year,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:45,F2P,Artoria Pendragon,,,Ozymandias,,,Cu Chulainn [Alter],,Jeanne D'arc [Alter],Between 3 and 6 months,4,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:46,F2P,,Gilgamesh,,,Leonardo Da Vinci,,,Amakusa Shirou,,More than 1 year,4,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:46,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,,"Francis Drake, Ozymandias",Xuanzang,,,Jeanne D'arc,,More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:46,F2P,"Artoria Pendragon, Altera",Arjuna,,Iskandar,,MHX,,,Jeanne D'arc [Alter],Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:46,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred",,Scathach,Ozymandias,,,Cu Chulainn [Alter],Jeanne D'arc,,More than 1 year,7,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:46,Paid Gacha Only,,,,,,,,,,,,,,"Okita Souji, Ryougi Shiki",,Scathach,Ozymandias,Zhuge Liang [El-Melloi II],MHX,,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:46,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Ryougi Shiki",Nikola Tesla,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",MHX,"Sakata Kintoki, Vlad III",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,15,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:46,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Ryougi Shiki",Orion,Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","Jack the Ripper, Shuten Douji","Sakata Kintoki, Minamoto no Raikō",,Jeanne D'arc [Alter],Between 3 and 6 months,17,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:46,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",Gilgamesh,Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,Minamoto no Raikō,,Jeanne D'arc [Alter],More than 1 year,11,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:46,F2P,,,,Iskandar,,,Sakata Kintoki,Amakusa Shirou,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:47,Paid Gacha Only,,,,,,,,,,,,,,Mordred,Arjuna,,"Francis Drake, Iskandar",Zhuge Liang [El-Melloi II],,Minamoto no Raikō,Jeanne D'arc,Edmond Dantes,More than 1 year,9,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:47,F2P,Mordred,,Scathach,,,,,,,Between 3 and 6 months,4,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:47,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ozymandias,,,,Jeanne D'arc,,Between 3 and 6 months,5,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:47,More than 500 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred, Ryougi Shiki","Orion, Nikola Tesla",Brynhildr,"Francis Drake, Ozymandias","Tamamo-no-mae, Xuanzang, Leonardo Da Vinci","Jack the Ripper, MHX, Shuten Douji","Sakata Kintoki, Vlad III",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,35,Male,,Between 21 and 40,,,,,No,,,
11/07/2018 0:47,F2P,,,,,,,,,,Between 1 and 3 months,0,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:47,F2P,Okita Souji,,,,,,,,,More than 1 year,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:47,F2P,"Altera, Okita Souji",,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci",,,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:47,Paid Gacha Only,,,,,,,,,,,,,,Altera,Orion,Brynhildr,Francis Drake,Tamamo-no-mae,,,,Jeanne D'arc [Alter],Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:48,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride]",,,"Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae",,"Sakata Kintoki, Vlad III",,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,11,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:48,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",Orion,Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Jack the Ripper,Minamoto no Raikō,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,37,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:48,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Ryougi Shiki",Orion,,,Tamamo-no-mae,,"Sakata Kintoki, Florence Nightingale",,"Jeanne D'arc [Alter], Edmond Dantes",More than 1 year,15,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:48,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Orion,,"Francis Drake, Iskandar, Ozymandias",Tamamo-no-mae,,"Vlad III, Florence Nightingale",Jeanne D'arc,Extra Option: Angra Mainyu,Between 6 and 12 months,10,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:48,F2P,"Altera, Mordred",,,,,,,Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,5,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:48,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Ryougi Shiki",Nikola Tesla,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",MHX,"Sakata Kintoki, Vlad III",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,15,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
